================,,,
Normal with aver over 30,,,
================,,,
GA1:,,,
fitness, slope,,
2421.996342,-210.0228186,,
2211.973523,-236.8234838,,
1975.150039,-166.0017867,,
1809.148253,-60.68914958,,
1748.459103,-122.0033649,,
1626.455738,-56.03049948,,
1570.425239,-79.9624957,,
1490.462743,-86.80785293,,
1403.65489,-54.93116424,,
1348.723726,-65.09450154,,
1283.629224,-53.57216488,,
1230.057059,-49.01305969,,
1181.044,-22.43790553,,
1158.606094,-12.00946262,,
1146.596632,-32.04744089,,
1114.549191,-33.88550159,,
1080.663689,-8.512549264,,
1072.15114,-43.74935455,,
1028.401785,-20.47157864,,
1007.930207,-27.84921148,,
980.0809951,-3.740064754,,
976.3409304,-17.66953237,,
958.671398,-21.5281548,,
937.1432432,-16.83944688,,
920.3037963,-8.0094827,,
912.2943136,-8.292552677,,
904.0017609,-4.498731745,,
899.5030292,-9.612633505,,
889.8903957,-24.43725071,,
865.453145,-9.994270232,,
855.4588748,-9.338784077,,
846.1200907,-18.97546823,,
827.1446224,-7.825952937,,
819.3186695,-3.961704719,,
815.3569648,-10.46080243,,
804.8961624,-22.45545521,,
782.4407071,-1.17086042,,
781.2698467,-13.07478786,,
768.1950589,-12.58564434,,
755.6094145,-0.687865963,,
754.9215486,-5.447677909,,
749.4738706,-17.41797528,,
732.0558954,-4.726282544,,
727.3296128,-2.53852154,,
724.7910913,-0.39728292,,
724.3938084,-6.645228274,,
717.7485801,-9.195003232,,
708.5535769,-4.383852085,,
704.1697248,-3.81772697,,
700.3519978,-9.832359833,,
690.519638,-10.73528403,,
679.7843539,-4.795807965,,
674.988546,-2.653850773,,
672.3346952,-9.902457354,,
662.4322378,1.249762893,,
663.6820007,0.184345668,,
663.8663464,-0.668417575,,
663.1979288,-5.382440602,,
657.8154882,-0.996598271,,
656.81889,-4.005150951,,
652.813739,-5.127021886,,
647.6867171,-0.527498011,,
647.1592191,-9.296187322,,
637.8630318,-2.884076973,,
634.9789548,-1.633754218,,
633.3452006,-0.322774469,,
633.0224261,-5.408664176,,
627.613762,-0.175599079,,
627.4381629,-5.205354934,,
622.2328079,-2.672372161,,
619.5604358,-8.54800312,,
611.0124327,-1.817635067,,
609.1947976,-1.612799693,,
607.5819979,-0.637888719,,
606.9441092,-3.892216765,,
603.0518924,-0.071281125,,
602.9806113,-5.901165396,,
597.0794459,-5.293580328,,
591.7858656,-4.368559705,,
587.4173059,0.422691871,,
587.8399977,-1.490117852,,
586.3498799,0.456348196,,
586.8062281,-5.98362848,,
580.8225996,-0.483632985,,
580.3389666,-1.749695995,,
578.5892706,-7.209713323,,
571.3795573,-1.208490709,,
570.1710666,-5.849920383,,
564.3211462,-0.335953278,,
563.9851929,-2.527521561,,
561.4576714,0.026406392,,
561.4840778,0.181337028,,
561.6654148,1.202984151,,
562.8683989,-0.114846952,,
562.753552,-2.122323497,,
560.6312285,-3.108179644,,
557.5230488,-3.785914811,,
553.737134,-0.007878591,,
553.7292554,0.707312691,,
554.4365681,-4.470760002,,
549.9658081,-1.395419279,,
548.5703888,-2.24943554,,
546.3209533,-0.880444691,,
545.4405086,-1.97413232,,
543.4663763,0.917832952,,
544.3842092,-3.997941183,,
540.3862681,-0.427274371,,
539.9589937,-0.050531637,,
539.9084621,-3.342627117,,
536.5658349,-2.466105267,,
534.0997297,0.39484642,,
534.4945761,-2.914908977,,
531.5796671,-0.713377843,,
530.8662893,0.122718254,,
530.9890075,-2.15343624,,
528.8355713,-0.428254181,,
528.4073171,-2.258579758,,
526.1487373,-3.781129388,,
522.367608,-0.748996048,,
521.6186119,-0.153064295,,
521.4655476,-2.470356339,,
518.9951913,-3.29478518,,
515.7004061,-4.254901708,,
511.4455044,-0.006135214,,
511.4393692,-0.759972154,,
510.679397,-1.732139661,,
508.9472574,-0.397693893,,
508.5495635,-0.509427706,,
508.0401358,-2.421282226,,
505.6188535,0.175821012,,
505.7946745,-5.677460704,,
500.1172138,-0.394880668,,
499.7223332,-1.444539006,,
498.2777942,-0.46049194,,
497.8173022,-0.332859084,,
497.4844431,-1.782548752,,
495.7018944,-3.433765585,,
492.2681288,-1.827802029,,
490.4403268,-0.003058579,,
490.4372682,-5.368041296,,
485.0692269,-0.343135201,,
484.7260917,0.163887174,,
484.8899789,-2.269013198,,
482.6209657,-1.192188317,,
481.4287774,-1.441017502,,
479.9877599,-2.965007408,,
477.0227525,2.177314812,,
479.2000673,-1.044213267,,
478.155854,-0.290260596,,
477.8655934,-5.283978742,,
472.5816147,-1.762185754,,
470.8194289,-0.191624193,,
470.6278047,-0.636385303,,
469.9914194,-0.191608414,,
469.799811,-1.757221253,,
468.0425897,-0.664796342,,
467.3777934,-0.629104782,,
466.7486886,-0.760140005,,
465.9885486,-0.059388436,,
465.9291602,-0.009543018,,
465.9196172,0.012587791,,
465.932205,-0.031754073,,
465.9004509,0.046857006,,
465.9473079,-0.846122905,,
465.101185,-3.305109647,,
461.7960753,-0.500879416,,
461.2951959,-1.626772133,,
459.6684238,0.396878043,,
460.0653018,-3.70262895,,
456.3626729,-1.589644353,,
454.7730285,-0.326873546,,
454.446155,-0.880931945,,
453.565223,-0.001433664,,
453.5637894,-0.795485302,,
452.7683041,-1.716987887,,
451.0513162,1.516189809,,
452.567506,-0.740832254,,
451.8266737,0.003207862,,
451.8298816,-0.742891878,,
451.0869897,-0.62886941,,
450.4581203,-0.751822847,,
449.7062975,-0.255507041,,
449.4507904,-0.170524488,,
449.2802659,-0.559022243,,
448.7212437,-1.126105955,,
447.5951377,-0.203321464,,
447.3918163,-0.258714113,,
447.1331022,0.3804024,,
447.5135046,-1.309767778,,
446.2037368,-0.467478039,,
445.7362587,-2.089534836,,
443.6467239,-0.932835248,,
442.7138887,0.871957808,,
443.5858465,-0.024191669,,
443.5616548,0.951941049,,
444.5135958,-0.20903086,,
444.304565,-1.008534405,,
443.2960306,-1.575912524,,
441.7201181,-6.83E-05,,
441.7200498,-0.162264723,,
441.557785,-0.208759158,,
441.3490259,-0.549479853,,
440.799546,-0.283881783,,
440.5156642,-0.802134099,,
439.7135301,0.75030231,,
440.4638324,-3.828366869,,
436.6354656,-0.446887041,,
436.1885785,-0.069271697,,
436.1193068,-0.292777157,,
435.8265297,-2.735835026,,
433.0906947,-0.561611405,,
432.5290833,-0.257016522,,
432.2720667,-1.694690145,,
430.5773766,0.137083593,,
430.7144602,-1.063771869,,
429.6506883,0.095279285,,
429.7459676,-0.067991298,,
429.6779763,-0.709030582,,
428.9689457,-0.352168154,,
428.6167776,-1.18357948,,
427.4331981,-2.212121045,,
425.221077,-0.020885343,,
425.2001917,-0.039820594,,
425.1603711,-0.011039457,,
425.1493316,-1.688940532,,
423.4603911,-0.045819742,,
423.4145714,-0.040671996,,
423.3738994,-0.030194281,,
423.3437051,-0.017454692,,
423.3262504,-2.599244645,,
420.7270058,-0.209483391,,
420.5175224,-0.241081202,,
420.2764412,-0.071803011,,
420.2046382,0.047136254,,
420.2517744,-0.828638122,,
419.4231363,-2.096324466,,
417.3268118,-3.271400414,,
414.0554114,-0.25795916,,
413.7974522,-0.99242718,,
412.8050251,-0.553273989,,
412.2517511,0.014944474,,
412.2666955,-0.12020373,,
412.1464918,-0.353473178,,
411.7930186,-0.139382675,,
411.653636,-0.331990828,,
411.3216451,0.159261455,,
411.4809066,-0.670435883,,
410.8104707,-2.443112425,,
408.3673583,-0.859450411,,
407.5079079,-0.09182962,,
407.4160783,-1.897026881,,
405.5190514,0.103948282,,
405.6229997,-0.088952502,,
405.5340472,0.763969397,,
406.2980165,-0.027272273,,
406.2707443,-0.382664879,,
405.8880794,-0.296470274,,
405.5916091,-0.458433227,,
405.1331759,0.114847768,,
405.2480237,0.130265668,,
405.3782893,-0.009123151,,
405.3691662,-0.524258235,,
404.8449079,-0.44293877,,
404.4019692,-0.064810567,,
404.3371586,-0.944833569,,
403.392325,-0.118228114,,
403.2740969,-0.011255305,,
403.2628416,0.003103723,,
403.2659453,-0.271417871,,
402.9945275,-2.941081194,,
400.0534463,-0.011585783,,
400.0418605,-1.22029689,,
398.8215636,-0.335951305,,
398.4856123,0.374945759,,
398.8605581,-0.363336022,,
398.497222,-1.175089991,,
397.322132,-1.006246224,,
396.3158858,-2.693517594,,
393.6223682,2.922558105,,
396.5449263,-0.056173282,,
396.4887531,-4.548092533,,
391.9406605,-0.001636971,,
391.9390235,-0.21323314,,
391.7257904,0.18963903,,
391.9154294,-0.497087095,,
391.4183423,-0.547949567,,
390.8703928,-0.692504232,,
390.1778885,-0.228411226,,
389.9494773,-0.320850859,,
389.6286265,-1.367506691,,
388.2611198,-0.371554606,,
387.8895652,0.21368154,,
388.1032467,-3.317835985,,
384.7854107,-0.297671039,,
384.4877397,-0.568480948,,
383.9192587,-0.334611997,,
383.5846467,3.26709559,,
386.8517423,0.001862101,,
386.8536044,-0.000439017,,
386.8531654,-0.504407721,,
386.3487577,-0.025580202,,
386.3231775,-4.71E-05,,
386.3231304,-2.101851225,,
384.2212791,-0.007389149,,
384.21389,-0.20318649,,
384.0107035,-0.925775996,,
383.0849275,-0.020925474,,
383.064002,-0.940721317,,
382.1232807,-0.049525716,,
382.073755,-0.218378257,,
381.8553767,-0.325149397,,
381.5302273,7.56E-06,,
381.5302349,-0.254438648,,
381.2757963,-0.419241018,,
380.8565552,0.183425702,,
381.0399809,-0.14711904,,
380.8928619,-0.296941454,,
380.5959204,-0.029429482,,
380.566491,-0.293104841,,
380.2733861,0.29538418,,
380.5687703,-3.30E-06,,
380.568767,-0.00332725,,
380.5654397,-0.215034058,,
380.3504057,-0.225139152,,
380.1252665,-0.093506373,,
380.0317602,-0.453060326,,
379.5786998,-0.115160821,,
379.463539,0.01907521,,
379.4826142,-0.334769737,,
379.1478445,-1.13287667,,
378.0149678,-2.816276437,,
375.1986914,-0.541862826,,
374.6568286,-0.046922123,,
374.6099064,-0.06383729,,
374.5460691,-3.501786704,,
371.0442824,2.47E-05,,
371.0443071,-0.432116392,,
370.6121908,1.12E-05,,
370.612202,-0.432661075,,
370.1795409,-0.048675356,,
370.1308656,-0.00342118,,
370.1274444,-0.007114981,,
370.1203294,-7.38E-05,,
370.1202556,-0.610576271,,
369.5096793,-1.404170633,,
368.1055087,-0.890801719,,
367.214707,-0.009390766,,
367.2053162,-0.033882534,,
367.1714337,-0.54096155,,
366.6304721,-0.20100785,,
366.4294643,-0.030803002,,
366.3986613,-0.087858396,,
366.3108029,0.003942547,,
366.3147454,-3.330796336,,
362.9839491,0.187426122,,
363.1713752,-0.460514181,,
362.710861,-0.283372964,,
362.4274881,-0.020011954,,
362.4074761,0.122593681,,
362.5300698,-0.027949591,,
362.5021202,0.06983992,,
362.5719601,-1.120113331,,
361.4518468,0.818674788,,
362.2705216,-0.012919082,,
362.2576025,-0.004186909,,
362.2534156,-0.029210697,,
362.2242049,-0.000451814,,
362.2237531,-0.000746946,,
362.2230061,-0.003739352,,
362.2192668,-0.401925642,,
361.8173411,0.161394253,,
361.9787354,-0.006754773,,
361.9719806,-0.509710972,,
361.4622696,-0.466358126,,
360.9959115,-0.000578725,,
360.9953328,-0.193722244,,
360.8016105,0.008835422,,
360.810446,-0.064586073,,
360.7458599,-0.07689429,,
360.6689656,-3.204568159,,
357.4643974,-0.041304649,,
357.4230928,-0.897618589,,
356.5254742,-0.949668402,,
355.5758058,-0.034755116,,
355.5410507,-2.06935509,,
353.4716956,-0.083648438,,
353.3880472,-0.175300901,,
353.2127463,-2.900689816,,
350.3120564,0.088856634,,
350.4009131,-0.382140949,,
350.0187721,-0.542484471,,
349.4762877,-0.089009511,,
349.3872781,0.467662747,,
349.8549409,-0.026467514,,
349.8284734,0.047318003,,
349.8757914,-0.255730669,,
349.6200607,-0.05539956,,
349.5646611,-0.220015282,,
349.3446459,-1.123479807,,
348.2211661,-0.002419665,,
348.2187464,-0.00397194,,
348.2147745,-0.012489797,,
348.2022847,-0.030659021,,
348.1716256,-0.294099178,,
347.8775265,-0.021307486,,
347.856219,-6.16E-07,,
347.8562184,-0.149654107,,
347.7065642,-0.019306285,,
347.687258,-0.11316367,,
347.5740943,0.136055784,,
347.7101501,-0.015690858,,
347.6944592,-0.156517522,,
347.5379417,-0.020692782,,
347.5172489,-0.23352139,,
347.2837275,-0.496973518,,
346.786754,0.001832885,,
346.7885869,-0.363613672,,
346.4249732,-0.163837573,,
346.2611356,-0.006891934,,
346.2542437,-0.055451505,,
346.1987922,-0.008909387,,
346.1898828,-0.185212326,,
346.0046705,0.15507645,,
346.1597469,-0.225193499,,
345.9345534,-6.66E-08,,
345.9345534,-0.051354504,,
345.8831989,-0.021607383,,
345.8615915,0.002961359,,
345.8645529,-1.643974074,,
344.2205788,-0.006876688,,
344.2137021,-0.000152474,,
344.2135496,-0.067641255,,
344.1459084,-0.207304587,,
343.9386038,0.201663271,,
344.140267,-0.002786233,,
344.1374808,-0.005995778,,
344.131485,-0.054134923,,
344.0773501,-0.17727882,,
343.9000713,-0.049179123,,
343.8508922,-0.078436022,,
343.7724561,0.049784887,,
343.822241,-0.20995452,,
343.6122865,-0.009727526,,
343.602559,-0.149648305,,
343.4529107,-5.01E-05,,
343.4528606,-0.000926777,,
343.4519338,0.000625592,,
343.4525594,-0.134068408,,
343.318491,8.31E-05,,
343.3185741,-0.005464028,,
343.3131101,-0.000689666,,
343.3124204,-0.048516163,,
343.2639042,-0.314941117,,
342.9489631,-0.627513102,,
342.32145,0.603109366,,
342.9245594,-0.058742342,,
342.865817,1.04E-06,,
342.8658181,0.058478857,,
342.9242969,-0.056292515,,
342.8680044,-0.007913643,,
342.8600908,0.001445434,,
342.8615362,-0.000111827,,
342.8614244,-2.14E-06,,
342.8614222,-0.004705801,,
342.8567164,-0.05792352,,
342.7987929,-0.252673352,,
342.5461196,-0.145009958,,
342.4011096,-0.024704128,,
342.3764055,-0.073616397,,
342.3027891,-0.021241379,,
342.2815477,-0.004248695,,
342.277299,-0.022615234,,
342.2546838,-0.511126985,,
341.7435568,-0.000275167,,
341.7432816,-1.066045541,,
340.6772361,-0.204774134,,
340.472462,0.209846481,,
340.6823084,-0.03323823,,
340.6490702,-0.001871723,,
340.6471985,-5.28E-07,,
340.647198,-0.288620531,,
340.3585774,0.288588903,,
340.6471663,-0.000792107,,
340.6463742,-0.293598071,,
340.3527761,-0.29628884,,
340.0564873,-0.048115564,,
340.0083717,0.238557092,,
340.2469288,-7.37E-05,,
340.2468551,0.008911387,,
340.2557665,-0.000456076,,
340.2553104,-0.0549672,,
340.2003432,0.008815581,,
340.2091588,-0.052858621,,
340.1563002,-0.657265968,,
339.4990342,-1.9908212,,
337.508213,0.031774407,,
337.5399874,-0.573075645,,
336.9669118,-0.00337107,,
336.9635407,-0.004419561,,
336.9591211,0,,249.5028964
The best result of this GA is:,,,
5.114035819,,,18.88030311
================,,,
GA2:,,,
fitness, slope,,
2466.345792,-295.3050368,,
2171.040756,-265.7086632,,
1905.332092,-135.5046642,,
1769.827428,-107.0446613,,
1662.782767,-99.1626371,,
1563.62013,-136.7210427,,
1426.899087,-102.080296,,
1324.818791,-65.17149824,,
1259.647293,-53.73876165,,
1205.908531,-106.7677393,,
1099.140792,-18.47224745,,
1080.668544,-16.33730616,,
1064.331238,-61.65003146,,
1002.681207,-27.06194726,,
975.6192596,-30.21475073,,
945.4045088,1.433156038,,
946.8376649,-17.15647151,,
929.6811934,-7.983335886,,
921.6978575,-17.59159475,,
904.1062627,-33.00947638,,
871.0967863,-3.198513604,,
867.8982727,-12.23649766,,
855.6617751,-21.93028483,,
833.7314903,-21.21388857,,
812.5176017,-2.285371194,,
810.2322305,-20.62461422,,
789.6076163,-17.5163398,,
772.0912765,-0.115845014,,
771.9754315,-20.1227572,,
751.8526743,-11.33749295,,
740.5151813,-43.0883881,,
697.4267932,-2.859744777,,
694.5670484,-14.52229829,,
680.0447501,-13.50048107,,
666.5442691,-5.028540544,,
661.5157285,-24.16165736,,
637.3540712,-4.643899383,,
632.7101718,-1.202042449,,
631.5081293,-13.98084167,,
617.5272877,-4.299448959,,
613.2278387,-9.178592148,,
604.0492466,-14.93466344,,
589.1145831,-4.675171375,,
584.4394118,-3.99272244,,
580.4466893,-2.760143839,,
577.6865455,-6.436407306,,
571.2501382,0.02405442,,
571.2741926,-1.370928362,,
569.9032642,-9.143101034,,
560.7601632,-6.591232088,,
554.1689311,-6.460211968,,
547.7087191,-4.743785498,,
542.9649336,-8.173711887,,
534.7912218,-4.685130927,,
530.1060908,-2.201855706,,
527.9042351,-0.945432814,,
526.9588023,-13.68386867,,
513.2749336,-1.76805267,,
511.506881,-7.539732318,,
503.9671486,-0.438395082,,
503.5287536,-0.4718256,,
503.056928,3.123372288,,
506.1803002,-3.233249558,,
502.9470507,-4.286847699,,
498.660203,1.306515472,,
499.9667185,-1.671095753,,
498.2956227,-4.59135165,,
493.7042711,0.003407956,,
493.707679,-2.068602063,,
491.639077,-2.954274632,,
488.6848023,-4.13895081,,
484.5458515,-1.487104781,,
483.0587467,-2.001200026,,
481.0575467,1.134808344,,
482.192355,-1.022387125,,
481.1699679,-1.260415817,,
479.9095521,-4.769864084,,
475.139688,-7.10869135,,
468.0309967,-1.726713457,,
466.3042832,-1.055373747,,
465.2489095,-5.4668424,,
459.7820671,-0.878071001,,
458.9039961,-5.789859589,,
453.1141365,-2.055159064,,
451.0589774,-0.144706403,,
450.914271,-7.305455775,,
443.6088152,-1.192585027,,
442.4162302,-0.753518404,,
441.6627118,-0.151116044,,
441.5115958,-0.445753565,,
441.0658422,-1.190132219,,
439.87571,-1.820065176,,
438.0556448,-0.268997193,,
437.7866476,0.249420119,,
438.0360677,-1.802712362,,
436.2333554,-8.261181254,,
427.9721741,4.209331498,,
432.1815056,-2.947568831,,
429.2339368,-0.955927495,,
428.2780093,-1.134686482,,
427.1433228,-0.47009513,,
426.6732277,0.476996153,,
427.1502238,-4.108483474,,
423.0417403,-0.960096814,,
422.0816435,-0.43409945,,
421.6475441,-1.201280287,,
420.4462638,1.212718986,,
421.6589828,-1.803908485,,
419.8550743,-1.30207191,,
418.5530024,-0.391094517,,
418.1619079,-1.040165357,,
417.1217425,-0.435892248,,
416.6858503,-3.609269792,,
413.0765805,-6.563244489,,
406.513336,-1.995359771,,
404.5179762,-1.828248327,,
402.6897279,-0.051793283,,
402.6379346,-2.351416791,,
400.2865178,-0.618846824,,
399.667671,-0.1281415,,
399.5395295,-0.782592664,,
398.7569368,-0.095419448,,
398.6615174,-1.673250208,,
396.9882672,-0.0300815,,
396.9581857,-0.136124129,,
396.8220615,-0.099633029,,
396.7224285,-1.639135401,,
395.0832931,-0.356346566,,
394.7269465,-1.808444408,,
392.9185021,-1.230988728,,
391.6875134,-0.002142743,,
391.6853707,-1.773417308,,
389.9119534,-1.791706874,,
388.1202465,-3.347840723,,
384.7724058,0.077018133,,
384.8494239,-2.257865931,,
382.591558,-1.067836107,,
381.5237219,-0.020644975,,
381.5030769,1.72079517,,
383.2238721,0.024889212,,
383.2487613,-0.00495663,,
383.2438046,-2.054329436,,
381.1894752,-0.289178471,,
380.9002967,-1.125958753,,
379.774338,-0.945139153,,
378.8291988,-1.291986354,,
377.5372125,-0.672423392,,
376.8647891,-0.023032849,,
376.8417562,-1.155738167,,
375.6860181,-0.5546239,,
375.1313942,-3.080234432,,
372.0511597,-1.523933137,,
370.5272266,-0.050461299,,
370.4767653,-0.414476976,,
370.0622883,-4.387678044,,
365.6746103,-0.286818537,,
365.3877917,-0.28181591,,
365.1059758,-0.043651363,,
365.0623245,0.254670496,,
365.316995,-0.182021589,,
365.1349734,-0.465216166,,
364.6697572,-0.079633779,,
